altitude_m,speed_mps,density_kg_per_m3,dynamic_pressure_pa,buoyant_lift_kg,wing_gas_volume_m3,wing_gas_lift_kg,total_static_lift_kg,wing_loading_kg_per_m2,required_cl_for_current_wing_area,required_wing_area_at_cl_0_5_m2
0.0,15.0,1.2250122659906946,137.81387992395312,51080.951969581256,455.08433477312724,516.5809121478878,51597.532881729145,171.42857142857142,1.829793923073279,1280.8557461512953
0.0,20.0,1.2250122659906946,245.00245319813894,51080.951969581256,455.08433477312724,516.5809121478878,51597.532881729145,171.42857142857142,1.0292590817287193,720.4813572101034
0.0,25.0,1.2250122659906946,382.81633312209203,51080.951969581256,455.08433477312724,516.5809121478878,51597.532881729145,171.42857142857142,0.6587258123063804,461.1080686144663
0.0,30.0,1.2250122659906946,551.2555196958125,51080.951969581256,455.08433477312724,516.5809121478878,51597.532881729145,171.42857142857142,0.45744848076831973,320.2139365378238
0.0,35.0,1.2250122659906946,750.3200129193004,51080.951969581256,455.08433477312724,516.5809121478878,51597.532881729145,171.42857142857142,0.3360845981155002,235.25921868085013
1000.0,15.0,1.1116522819524908,125.06088171965521,45979.752687862085,455.08433477312724,464.9925592219695,46444.74524708405,171.42857142857142,2.0163859116656737,1411.4701381659715
1000.0,20.0,1.1116522819524908,222.33045639049817,45979.752687862085,455.08433477312724,464.9925592219695,46444.74524708405,171.42857142857142,1.1342170753119414,793.951952718359
1000.0,25.0,1.1116522819524908,347.39133811015336,45979.752687862085,455.08433477312724,464.9925592219695,46444.74524708405,171.42857142857142,0.7258989281996425,508.1292497397498
1000.0,30.0,1.1116522819524908,500.24352687862086,45979.752687862085,455.08433477312724,464.9925592219695,46444.74524708405,171.42857142857142,0.5040964779164184,352.8675345414929
1000.0,35.0,1.1116522819524908,680.8870226959006,45979.752687862085,455.08433477312724,464.9925592219695,46444.74524708405,171.42857142857142,0.37035659602022586,259.2496172141581
2000.0,15.0,1.0064977189019437,113.23099337646867,41247.79735058747,455.08433477312724,417.1383648477524,41664.93571543522,171.42857142857142,2.2270492599282043,1558.934481949743
2000.0,20.0,1.0064977189019437,201.29954378038875,41247.79735058747,455.08433477312724,417.1383648477524,41664.93571543522,171.42857142857142,1.2527152087096152,876.9006460967305
2000.0,25.0,1.0064977189019437,314.5305371568574,41247.79735058747,455.08433477312724,417.1383648477524,41664.93571543522,171.42857142857142,0.8017377335741537,561.2164135019076
2000.0,30.0,1.0064977189019437,452.9239735058747,41247.79735058747,455.08433477312724,417.1383648477524,41664.93571543522,171.42857142857142,0.5567623149820511,389.73362048743576
2000.0,35.0,1.0064977189019437,616.4798528274406,41247.79735058747,455.08433477312724,417.1383648477524,41664.93571543522,171.42857142857142,0.4090498640684457,286.33490484791196
3000.0,15.0,0.9091276032136805,102.27685536153906,36866.142144615624,455.08433477312724,372.8267505229767,37238.9688951386,171.42857142857142,2.465572480778757,1725.9007365451298
3000.0,20.0,0.9091276032136805,181.82552064273608,36866.142144615624,455.08433477312724,372.8267505229767,37238.9688951386,171.42857142857142,1.386884520438051,970.8191643066357
3000.0,25.0,0.9091276032136805,284.10237600427513,36866.142144615624,455.08433477312724,372.8267505229767,37238.9688951386,171.42857142857142,0.8876060930803527,621.3242651562468
3000.0,30.0,0.9091276032136805,409.10742144615625,36866.142144615624,455.08433477312724,372.8267505229767,37238.9688951386,171.42857142857142,0.6163931201946893,431.47518413628245
3000.0,35.0,0.9091276032136805,556.8406569683793,36866.142144615624,455.08433477312724,372.8267505229767,37238.9688951386,171.42857142857142,0.4528602515716085,317.0021761001259
